Time	Total_infected	Unique_genotypes	Occupied_patches	Genealogical_diversity	TMRCA	Genetic_divergence	Sim
10.0	131	30	30	9.3	8.75	5.55	ext_0.0_col_0.01_Npatch_1000_PatchSize_100
20.0	162	39	39	23.33	19.0	13.115	ext_0.0_col_0.01_Npatch_1000_PatchSize_100
30.0	268	42	42	34.85	28.75	19.965	ext_0.0_col_0.01_Npatch_1000_PatchSize_100
40.0	255	48	48	54.29	38.75	30.575	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
50.0	257	46	46	62.37	47.0	37.445	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
60.0	292	45	45	69.01	57.5	45.225	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
70.0	288	40	40	92.94	67.5	55.08	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
80.0	240	42	42	98.72	79.5	70.48	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
90.0	253	38	38	116.01	86.75	72.665	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
100.0	247	47	47	121.55	97.25	79.105	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
110.0	273	43	43	123.97	109.25	87.305	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
120.0	290	48	48	156.58	118.75	100.91	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
130.0	240	43	43	134.78	127.5	105.47	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
140.0	227	42	42	189.62	138.75	123.21	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
150.0	188	39	39	176.85	145.25	117.895	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
160.0	217	37	37	200.75	156.25	142.475	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
170.0	223	40	40	184.79	160.25	144.445	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
180.0	331	52	52	224.13	177.25	159.275	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
190.0	221	27	27	185.97	185.75	166.915	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
200.0	221	32	32	251.19	199.0	153.925	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
210.0	318	43	43	291.23	209.25	169.415	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
220.0	360	43	43	273.98	213.25	187.5	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
230.0	305	48	48	274.25	227.0	169.555	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
240.0	296	39	39	279.12	237.0	211.89	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
250.0	285	39	39	326.27	248.25	217.055	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
260.0	252	40	40	332.53	258.5	223.525	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
270.0	223	42	42	335.31	268.75	229.135	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
280.0	295	44	44	382.42	278.5	240.73	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
290.0	199	37	37	403.75	289.5	255.735	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
300.0	154	41	41	378.89	297.0	249.605	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
310.0	230	45	45	415.99	306.75	267.805	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
320.0	210	34	34	366.68	316.75	250.19	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
330.0	231	45	45	368.28	329.0	271.02	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
340.0	244	31	31	289.31	336.0	240.035	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
350.0	320	43	43	313.57	344.5	281.535	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
360.0	253	41	41	281.59	358.5	330.955	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
370.0	341	48	48	328.88	367.0	301.27	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
380.0	254	32	32	362.1	379.0	329.93	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
390.0	326	40	40	249.35	385.5	351.815	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
400.0	231	40	40	399.83	397.75	358.455	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
410.0	294	45	45	398.39	409.0	379.925	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
420.0	284	46	46	347.69	416.25	376.175	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
430.0	305	46	46	406.83	426.75	400.235	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
440.0	338	44	44	278.2	433.75	344.02	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
450.0	318	41	41	272.51	403.5	377.295	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
460.0	228	36	36	267.95	413.5	374.775	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
470.0	295	34	34	208.87	344.25	379.175	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
480.0	267	52	52	338.81	434.75	422.955	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
490.0	243	37	37	326.67	444.25	414.315	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
500.0	246	36	36	345.8	455.25	399.59	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
