Time	Total_infected	Unique_genotypes	Occupied_patches	Genealogical_diversity	TMRCA	Genetic_divergence	Sim
10.0	72	25	25	7.03	7.75	4.565	ext_0.0_col_0.01_Npatch_1000_PatchSize_100
20.0	141	35	35	21.07	18.5	14.295	ext_0.0_col_0.01_Npatch_1000_PatchSize_100
30.0	54	19	19	35.94	28.75	24.38	ext_0.0_col_0.01_Npatch_1000_PatchSize_100
40.0	72	25	25	55.56	39.25	35.81	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
50.0	197	47	47	65.39	48.5	42.715	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
60.0	168	36	36	79.78	59.25	50.84	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
70.0	315	49	49	94.1	69.25	61.83	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
80.0	244	39	39	94.03	78.0	69.895	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
90.0	178	34	34	95.41	86.75	74.855	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
100.0	180	30	30	104.71	97.25	89.955	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
110.0	166	34	34	107.47	108.0	95.545	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
120.0	282	49	49	104.77	115.5	100.075	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
130.0	200	40	40	129.79	127.75	115.625	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
140.0	267	45	45	142.83	139.25	129.305	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
150.0	184	33	33	180.86	147.75	133.46	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
160.0	207	39	39	160.44	157.75	136.91	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
170.0	214	42	42	173.63	168.0	156.805	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
180.0	243	47	47	163.09	175.5	152.655	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
190.0	225	34	34	185.06	187.0	160.08	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
200.0	219	38	38	210.01	198.5	175.895	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
210.0	235	36	36	189.28	135.75	168.05	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
220.0	229	38	38	239.45	218.5	169.695	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
230.0	202	42	42	227.35	228.75	192.695	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
240.0	255	45	45	299.31	238.25	217.425	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
250.0	249	42	42	313.14	246.25	217.55	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
260.0	241	46	46	312.49	258.75	237.355	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
270.0	237	44	44	267.75	262.5	235.385	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
280.0	224	47	47	257.08	271.25	237.4	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
290.0	251	42	42	318.15	285.0	249.285	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
300.0	229	41	41	250.62	295.25	280.06	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
310.0	334	53	53	286.97	302.25	268.415	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
320.0	179	36	36	334.13	245.75	276.715	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
330.0	200	30	30	335.73	328.25	269.035	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
340.0	199	41	41	407.29	339.25	296.895	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
350.0	229	44	44	385.17	348.75	290.725	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
360.0	269	43	43	434.01	355.75	326.475	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
370.0	233	40	40	254.53	295.5	294.845	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
380.0	283	49	49	333.41	376.75	341.485	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
390.0	251	43	43	256.6	311.75	355.24	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
400.0	222	37	37	266.16	396.25	360.79	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
410.0	271	37	37	317.41	402.25	357.305	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
420.0	216	36	36	343.92	416.5	362.55	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
430.0	248	34	34	465.45	423.25	367.135	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
440.0	266	46	46	445.73	439.5	371.105	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
450.0	238	40	40	482.7	446.75	389.82	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
460.0	191	31	31	551.94	457.5	401.55	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
470.0	234	32	32	418.52	466.5	372.65	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
480.0	174	40	40	579.2	478.5	434.46	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
490.0	206	37	37	534.42	488.75	401.57	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
500.0	275	45	45	624.94	499.25	426.0	ext_0.05_col_0.01_Npatch_1000_PatchSize_100
